treatment,migration_rate,carrying_capacity,sigma,lambda,alpha,log_abundances,num_populations,summary_stat,fixed_metapopulation,metapopulation_generator,number_of_timesteps
1,0.001,1.0,0.5,1.0,0,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
2,0.01,1.0,0.5,1.0,0,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
3,0.1,1.0,0.5,1.0,0,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
4,0.25,1.0,0.5,1.0,0,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
5,0.5,1.0,0.5,1.0,0,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
6,0.95,1.0,0.5,1.0,0,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
7,0.001,1.0,0.5,1.0,8,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
8,0.01,1.0,0.5,1.0,8,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
9,0.1,1.0,0.5,1.0,8,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
10,0.25,1.0,0.5,1.0,8,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
11,0.5,1.0,0.5,1.0,8,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
12,0.95,1.0,0.5,1.0,8,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
13,0.001,1.0,0.5,1.0,16,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
14,0.01,1.0,0.5,1.0,16,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
15,0.1,1.0,0.5,1.0,16,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
16,0.25,1.0,0.5,1.0,16,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
17,0.5,1.0,0.5,1.0,16,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
18,0.95,1.0,0.5,1.0,16,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
19,0.001,1.0,0.5,1.0,24,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
20,0.01,1.0,0.5,1.0,24,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
21,0.1,1.0,0.5,1.0,24,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
22,0.25,1.0,0.5,1.0,24,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
23,0.5,1.0,0.5,1.0,24,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
24,0.95,1.0,0.5,1.0,24,false,5,random_PCC_within_radius,false,get_random_metapopulation,300
25,0.001,1.0,0.5,1.0,0,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
26,0.01,1.0,0.5,1.0,0,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
27,0.1,1.0,0.5,1.0,0,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
28,0.25,1.0,0.5,1.0,0,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
29,0.5,1.0,0.5,1.0,0,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
30,0.95,1.0,0.5,1.0,0,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
31,0.001,1.0,0.5,1.0,8,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
32,0.01,1.0,0.5,1.0,8,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
33,0.1,1.0,0.5,1.0,8,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
34,0.25,1.0,0.5,1.0,8,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
35,0.5,1.0,0.5,1.0,8,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
36,0.95,1.0,0.5,1.0,8,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
37,0.001,1.0,0.5,1.0,16,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
38,0.01,1.0,0.5,1.0,16,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
39,0.1,1.0,0.5,1.0,16,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
40,0.25,1.0,0.5,1.0,16,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
41,0.5,1.0,0.5,1.0,16,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
42,0.95,1.0,0.5,1.0,16,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
43,0.001,1.0,0.5,1.0,24,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
44,0.01,1.0,0.5,1.0,24,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
45,0.1,1.0,0.5,1.0,24,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
46,0.25,1.0,0.5,1.0,24,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
47,0.5,1.0,0.5,1.0,24,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
48,0.95,1.0,0.5,1.0,24,false,10,random_PCC_within_radius,false,get_random_metapopulation,300
49,0.001,1.0,0.5,1.0,0,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
50,0.01,1.0,0.5,1.0,0,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
51,0.1,1.0,0.5,1.0,0,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
52,0.25,1.0,0.5,1.0,0,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
53,0.5,1.0,0.5,1.0,0,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
54,0.95,1.0,0.5,1.0,0,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
55,0.001,1.0,0.5,1.0,8,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
56,0.01,1.0,0.5,1.0,8,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
57,0.1,1.0,0.5,1.0,8,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
58,0.25,1.0,0.5,1.0,8,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
59,0.5,1.0,0.5,1.0,8,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
60,0.95,1.0,0.5,1.0,8,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
61,0.001,1.0,0.5,1.0,16,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
62,0.01,1.0,0.5,1.0,16,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
63,0.1,1.0,0.5,1.0,16,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
64,0.25,1.0,0.5,1.0,16,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
65,0.5,1.0,0.5,1.0,16,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
66,0.95,1.0,0.5,1.0,16,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
67,0.001,1.0,0.5,1.0,24,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
68,0.01,1.0,0.5,1.0,24,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
69,0.1,1.0,0.5,1.0,24,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
70,0.25,1.0,0.5,1.0,24,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
71,0.5,1.0,0.5,1.0,24,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
72,0.95,1.0,0.5,1.0,24,false,20,random_PCC_within_radius,false,get_random_metapopulation,300
73,0.001,1.0,0.5,1.0,0,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
74,0.01,1.0,0.5,1.0,0,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
75,0.1,1.0,0.5,1.0,0,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
76,0.25,1.0,0.5,1.0,0,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
77,0.5,1.0,0.5,1.0,0,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
78,0.95,1.0,0.5,1.0,0,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
79,0.001,1.0,0.5,1.0,8,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
80,0.01,1.0,0.5,1.0,8,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
81,0.1,1.0,0.5,1.0,8,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
82,0.25,1.0,0.5,1.0,8,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
83,0.5,1.0,0.5,1.0,8,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
84,0.95,1.0,0.5,1.0,8,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
85,0.001,1.0,0.5,1.0,16,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
86,0.01,1.0,0.5,1.0,16,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
87,0.1,1.0,0.5,1.0,16,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
88,0.25,1.0,0.5,1.0,16,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
89,0.5,1.0,0.5,1.0,16,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
90,0.95,1.0,0.5,1.0,16,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
91,0.001,1.0,0.5,1.0,24,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
92,0.01,1.0,0.5,1.0,24,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
93,0.1,1.0,0.5,1.0,24,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
94,0.25,1.0,0.5,1.0,24,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
95,0.5,1.0,0.5,1.0,24,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
96,0.95,1.0,0.5,1.0,24,false,40,random_PCC_within_radius,false,get_random_metapopulation,300
97,0.001,1.0,0.5,1.0,0,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
98,0.01,1.0,0.5,1.0,0,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
99,0.1,1.0,0.5,1.0,0,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
100,0.25,1.0,0.5,1.0,0,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
101,0.5,1.0,0.5,1.0,0,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
102,0.95,1.0,0.5,1.0,0,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
103,0.001,1.0,0.5,1.0,8,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
104,0.01,1.0,0.5,1.0,8,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
105,0.1,1.0,0.5,1.0,8,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
106,0.25,1.0,0.5,1.0,8,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
107,0.5,1.0,0.5,1.0,8,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
108,0.95,1.0,0.5,1.0,8,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
109,0.001,1.0,0.5,1.0,16,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
110,0.01,1.0,0.5,1.0,16,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
111,0.1,1.0,0.5,1.0,16,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
112,0.25,1.0,0.5,1.0,16,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
113,0.5,1.0,0.5,1.0,16,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
114,0.95,1.0,0.5,1.0,16,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
115,0.001,1.0,0.5,1.0,24,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
116,0.01,1.0,0.5,1.0,24,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
117,0.1,1.0,0.5,1.0,24,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
118,0.25,1.0,0.5,1.0,24,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
119,0.5,1.0,0.5,1.0,24,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
120,0.95,1.0,0.5,1.0,24,false,80,random_PCC_within_radius,false,get_random_metapopulation,300
